Date,Rank,Name,Symbol,Market Cap,Price
2023/03/19,3,"Tether","USDT","$82,335,299,514.00","$1.0030"
2023/03/19,4,"BNB","BNB","$52,521,837,603.03","$336.98"
2023/03/19,5,"USD Coin","USDC","$30,228,148,676.05","$0.9998"
2023/03/19,6,"XRP","XRP","$20,137,168,434.09","$0.3885"
2023/03/19,7,"Cardano","ADA","$12,052,777,429.80","$0.346"
2023/03/19,8,"Polygon","MATIC","$10,812,234,016.12","$1.1690"
2023/03/19,9,"Dogecoin","DOGE","$10,418,543,821.66","$0.07481"
2023/03/19,10,"Solana","SOL","$8,649,436,639.18","$21.90"
2023/03/26,1,"Bitcoin","BTC","$542,178,945,116.21","$27,994.33"
2023/03/26,2,"Ethereum","ETH","$213,675,897,791.88","$1,775.68"
2023/03/26,3,"Tether","USDT","$82,161,752,552.32","$1.0009"
2023/03/26,4,"BNB","BNB","$51,260,868,227.97","$328.89"
2023/03/26,5,"USD Coin","USDC","$30,229,350,410.92","$0.9999"
2023/03/26,6,"XRP","XRP","$23,265,701,804.04","$0.4488"
2023/03/26,7,"Cardano","ADA","$12,409,426,721.16","$0.3562"
2023/03/26,8,"Dogecoin","DOGE","$10,363,458,464.30","$0.07442"
2023/03/26,9,"Polygon","MATIC","$10,226,198,412.17","$1.1056"
2023/03/26,10,"Solana","SOL","$8,283,024,187.84","$20.98"
2023/04/02,1,"Bitcoin","BTC","$545,245,950,698.04","$28,199.31"
2023/04/02,2,"Ethereum","ETH","$216,307,003,100.75","$1,795.71"
2023/04/02,3,"Tether","USDT","$79,712,741,574.78","$1.0002"
2023/04/02,4,"BNB","BNB","$49,565,588,033.19","$313.93"
2023/04/02,5,"USD Coin","USDC","$32,531,061,019.39","$0.9997"
2023/04/02,6,"XRP","XRP","$26,803,620,002.77","$0.519"
2023/04/02,7,"Cardano","ADA","$13,263,150,756.35","$0.3818"
2023/04/02,8,"Dogecoin","DOGE","$10,975,862,482.76","$0.07909"
2023/04/02,9,"Polygon","MATIC","$9,956,789,008.66","$1.0965"
2023/04/02,10,"Solana","SOL","$7,920,489,152.32","$20.54"
2023/04/09,1,"Bitcoin","BTC","$548,015,190,714.46","$28,333.05"
2023/04/09,2,"Ethereum","ETH","$223,977,715,590.51","$1,859.39"
2023/04/09,3,"Tether","USDT","$80,247,267,378.84","$1.0005"
2023/04/09,4,"BNB","BNB","$49,398,327,195.37","$312.87"
2023/04/09,5,"USD Coin","USDC","$32,592,157,074.22","$0.9997"
2023/04/09,6,"XRP","XRP","$26,145,783,968.96","$0.5058"
2023/04/09,7,"Cardano","ADA","$13,548,103,031.14","$0.3897"
2023/04/09,8,"Dogecoin","DOGE","$11,566,660,083.61","$0.08329"
2023/04/09,9,"Polygon","MATIC","$10,098,527,207.32","$1.1019"
2023/04/09,10,"Solana","SOL","$7,877,620,348.03","$20.30"
2023/04/16,1,"Bitcoin","BTC","$586,546,802,552.22","$30,315.36"
2023/04/16,2,"Ethereum","ETH","$253,800,479,048.37","$2,120.01"
2023/04/16,3,"Tether","USDT","$80,965,191,181.81","$1.0005"
2023/04/16,4,"BNB","BNB","$54,275,690,979.85","$348.22"
2023/04/16,5,"USD Coin","USDC","$31,822,883,102.72","$0.9997"
2023/04/16,6,"XRP","XRP","$26,982,441,053.72","$0.5214"
2023/04/16,7,"Cardano","ADA","$15,710,899,753.13","$0.4518"
2023/04/16,8,"Dogecoin","DOGE","$12,572,717,971.81","$0.09047"
2023/04/16,9,"Polygon","MATIC","$10,914,575,665.59","$1.1839"
2023/04/16,10,"Solana","SOL","$9,950,761,125.91","$25.36"
2023/04/23,1,"Bitcoin","BTC","$534,020,212,996.70","$27,591.38"
2023/04/23,2,"Ethereum","ETH","$224,214,876,354.29","$1,862.06"
2023/04/23,3,"Tether","USDT","$81,443,741,281.10","$1.0000"
2023/04/23,4,"BNB","BNB","$51,531,648,822.63","$330.62"
2023/04/23,5,"USD Coin","USDC","$30,803,812,540.40","$0.9999"
2023/04/23,6,"XRP","XRP","$24,064,973,700.94","$0.465"
2023/04/23,7,"Cardano","ADA","$13,534,508,992.01","$0.389"
2023/04/23,8,"Dogecoin","DOGE","$10,960,839,718.57","$0.07882"
2023/04/23,9,"Polygon","MATIC","$9,253,357,893.37","$1.0037"
2023/04/23,10,"Solana","SOL","$8,436,749,410.76","$21.48"
2023/04/30,1,"Bitcoin","BTC","$566,661,285,145.36","$29,268.81"
2023/04/30,2,"Ethereum","ETH","$225,975,170,377.91","$1,876.92"
2023/04/30,3,"Tether","USDT","$81,743,942,509.33","$1.0004"
2023/04/30,4,"BNB","BNB","$52,626,345,936.38","$337.65"
2023/04/30,5,"USD Coin","USDC","$30,510,160,911.78","$0.9999"
2023/04/30,6,"XRP","XRP","$24,443,538,173.71","$0.4723"
2023/04/30,7,"Cardano","ADA","$13,832,293,738.70","$0.3974"
2023/04/30,8,"Dogecoin","DOGE","$11,100,461,915.79","$0.07977"
2023/04/30,9,"Polygon","MATIC","$9,102,226,857.82","$0.9841"
2023/04/30,10,"Solana","SOL","$8,978,360,112.34","$22.83"
2023/05/07,1,"Bitcoin","BTC","$551,083,296,208.80","$28,454.98"
2023/05/07,2,"Ethereum","ETH","$225,414,591,269.89","$1,873.08"
2023/05/07,3,"Tether","USDT","$82,209,951,575.01","$1.0015"
2023/05/07,4,"BNB","BNB","$50,126,733,781.05","$321.61"
2023/05/07,5,"USD Coin","USDC","$30,400,289,561.96","$1.0001"
2023/05/07,6,"XRP","XRP","$23,345,911,524.89","$0.4504"
2023/05/07,7,"Cardano","ADA","$13,128,013,021.83","$0.3769"
2023/05/07,8,"Dogecoin","DOGE","$10,682,087,628.92","$0.07671"
2023/05/07,9,"Polygon","MATIC","$8,931,518,969.56","$0.9656"
2023/05/07,10,"Solana","SOL","$8,626,083,965.26","$21.84"
2023/05/14,1,"Bitcoin","BTC","$521,742,220,416.76","$26,930.64"
2023/05/14,2,"Ethereum","ETH","$221,375,138,904.32","$1,800.50"
2023/05/14,3,"Tether","USDT","$82,839,704,395.79","$1.0005"
2023/05/14,4,"BNB","BNB","$48,649,436,453.50","$312.14"
2023/05/14,5,"USD Coin","USDC","$29,976,859,444.81","$1.0001"
2023/05/14,6,"XRP","XRP","$22,075,646,338.38","$0.4259"
2023/05/14,7,"Cardano","ADA","$12,922,019,994.91","$0.3708"
2023/05/14,8,"Dogecoin","DOGE","$10,031,077,803.75","$0.07199"
2023/05/14,9,"Solana","SOL","$8,286,544,260.32","$20.95"
2023/05/14,10,"Polygon","MATIC","$7,952,441,482.38","$0.8598"
2023/05/21,1,"Bitcoin","BTC","$518,489,461,930.79","$26,753.83"
2023/05/21,2,"Ethereum","ETH","$217,032,947,920.33","$1,804.53"
2023/05/21,3,"Tether","USDT","$82,929,257,908.12","$1.0002"
2023/05/21,4,"BNB","BNB","$47,771,639,109.13","$306.51"
2023/05/21,5,"USD Coin","USDC","$29,551,205,669.46","$0.9999"
2023/05/21,6,"XRP","XRP","$23,734,559,208.60","$0.4575"
2023/05/21,7,"Cardano","ADA","$12,563,402,691.63","$0.3604"
2023/05/21,8,"Dogecoin","DOGE","$10,059,684,186.08","$0.07214"
2023/05/21,9,"Polygon","MATIC","$7,950,488,212.36","$0.8568"
2023/05/21,10,"Solana","SOL","$7,764,489,644.98","$19.61"
2023/05/28,1,"Bitcoin","BTC","$544,483,610,242.00","$28,085.65"
2023/05/28,2,"Ethereum","ETH","$229,798,912,476.57","$1,910.91"
2023/05/28,3,"Tether","USDT","$83,141,485,173.53","$1.0002"
2023/05/28,4,"BNB","BNB","$48,981,213,310.01","$314.27"
2023/05/28,5,"USD Coin","USDC","$29,060,571,707.84","$0.9999"
2023/05/28,6,"XRP","XRP","$25,102,181,890.80","$0.4829"
2023/05/28,7,"Cardano","ADA","$13,358,108,791.67","$0.383"
2023/05/28,8,"Dogecoin","DOGE","$10,271,811,086.98","$0.07361"
